,Company Name,Product Name,Quantity,Price
304,Nandini,Milk  Shake - Butterscotch Premium,200 ml,25.00
305,West Frisian,Smoked Processed Cheese,200 gm,220.00
306,Milky Mist,Cheese Slices,476 gm,240.00
307,mother dairy,Chach - Tadka,200 ml,12.00
308,MTR,Drink - Badam,180 ml,45.00
309,West Frisian,Smoked Processed Cheese - Black Pepper,200 gm,245.00
310,Fresho Signature,"Cheese - Fontal, Block",200 gm,430.50
311,Amul,Processed Cheese  - Gouda,8 pcs,144.00
312,Vijay Dairy Farm,Khova,200 gm,75.00
313,Cavins,Milkshake - Strawberry,1 ltr,104.00
314,RRO Dairy,Cheese - Mascarpone,200 gm,301.75
315,Go ,Cheese Spread - Olive & Herbs (Soft & Creamy),200 gm,79.00
316,mother dairy,Milk Shake - Chocolate,200 ml,25.00
317,Fresho Signature,"Cheese - Parmesan Pecorino Romano D.O.P, Diced",100 gm,257.25
318,Go ,Cheese Slice - Schezwan,200 gm,99.00
319,Vijay Dairy Farm,Malai Paneer - Farm Fresh,500 gm,170.00
320,West Frisian,Smoked Processed Cheese - Garlic,200 gm,245.00
321,Britannia,Cheese Block,1 kg,475.00
322,Soyfit,Tofu Supreme - Garlic Pepper,200 gm,120.00
323,Lactima,Processed Cheese - Cheddar,120 gm,195.00
324,Kodai Dairy Farms,Cheese - Pepper Cheddar,200 gm,220.00
325,Britannia,Cheese - Processed,400 gm,240.00
326,RRO Dairy,"Cheese - Scamorza, Plain",150 gm,242.25
327,Lactima,Cheddar - Cheese Slices,130 gm,180.00
328,Nestle A+,Grekyo Yogurt - Greek Style Curd,300 gm,65.00
329,Milky Mist,Premium Cheese Spread - Garlic,200 gm,86.40
330,MOOZ,Sour Cream - Chipotle,150 gm,220.00
331,A Lemnos,Fetta - Cheese Traditional,180 gm,550.00
332,RRO Dairy,Pizza Cheese - Mozzarella,200 gm,233.75
333,Fresho Signature,"Cheese - Parmesan Grana Padano D.O.P, Diced",100 gm,239.25
334,Fresho Signature,"Cheese - Parmesan Parmigiano Reggiano Stravecchio D.O.P, Diced",100 gm,336.00
335,Britannia,Daily Fresh - Yogurt (Mango),100 gm,30.00
336,Go ,Cheese Spread - Four Pepper (Soft & Creamy),200 gm,79.00
337,Go ,Cheese Spread - Smoked Paprika (Soft & Creamy),200 gm,79.00
338,Soyfit,Tofu Supreme - Regular,200 gm,100.00
339,MOOZ,Cheese - Quark,150 gm,200.00
340,Britannia,Daily Fresh - Yogurt (Vanilla),100 gm,30.00
341,Cavins,Milkshake - Kaju ButterScotch,1 ltr,104.00
342,MOOZ,Cheese - Creamy Garlic & Herbs,150 gm,125.00
343,Britannia,Cheese Spreadz - Classic,180 gm,85.00
